Name,X1,Y1,X2,Y2,X_Offset,Y_Offset
sku_kit_s2l2_vessel,700.878378378378,139,699.49,137.46,1.38837837837832,1.53999999999999
sku_kit_s2l2_vessel,703,-93,701.91,-87.04,1.09000000000003,-5.95999999999999
sku_part_large_gear,541.21,79.96,542.39,80.47,-1.17999999999995,-0.510000000000005
sku_part_large_gear,542.39,188.976,541.69,186.37,0.699999999999932,2.60599999999999
sku_part_large_gear,721.410552818343,-268,721.41,-261.28,0.000552818342612,-6.72000000000003
sku_part_large_gear,721.901,-377.078,722.03,-369.78,-0.129000000000019,-7.298
sku_part_small_gear,582.799,-26,583.89,-26.71,-1.09100000000001,0.710000000000001
sku_part_small_gear,527.488,-27,529.31,-25.23,-1.82199999999989,-1.77
sku_part_small_gear,527.482,-84.987,528.4,-81.89,-0.918000000000006,-3.09699999999999
sku_part_small_gear,582.203,-85,583.41,-81.71,-1.20699999999999,-3.29000000000001
