Name,X1,Y1,X2,Y2,X_Offset,Y_Offset
sku_kit_s2l2_vessel,702.67,-90.47,703.0,-93.0,-0.3300000000000409,2.530000000000001
sku_kit_s2l2_vessel,698.52,134.02,700.8783783783783,139.0,-2.3583783783783474,-4.97999999999999
sku_large_gear_vessel,543.93,130.83,545.013,129.0,-1.0830000000000837,1.8300000000000125
sku_large_gear_vessel,723.4,-304.93,721.6895,-328.0,1.7105000000000246,23.069999999999993
sku_part_large_gear,542.79,79.16,541.21,79.96,1.5799999999999272,-0.7999999999999972
sku_part_large_gear,541.63,184.87,542.39,188.976,-0.7599999999999909,-4.1059999999999945
sku_part_large_gear,720.91,-253.12,721.4105528183426,-268.0,-0.5005528183426122,14.879999999999995
sku_part_large_gear,724.98,-361.52,721.901,-377.078,3.0790000000000646,15.557999999999993
sku_part_small_gear,582.5,-26.72,582.799,-26.0,-0.29899999999997817,-0.7199999999999989
sku_part_small_gear,529.04,-26.82,527.488,-27.0,1.5519999999999072,0.17999999999999972
sku_part_small_gear,529.27,-83.45,527.482,-84.987,1.788000000000011,1.536999999999992
sku_part_small_gear,581.1,-81.32,582.203,-85.0,-1.1029999999999518,3.680000000000007
sku_small_gear_vessel,556.51,-55.4,554.993,-55.74675,1.516999999999939,0.3467500000000001
