name,rotation,x,y,score,type
medium_gear_1,0.0,600.3153076171875,-185.5487823486328,100.0,PT
medium_gear_2,0.0,600.3062744140625,-266.66351318359375,100.0,PT
medium_gear_3,0.0,520.133056640625,-265.7039489746094,100.0,PT
medium_gear_4,0.0,521.5618896484375,-184.11593627929688,100.0,PT
large_gear_1,0.0,536.972900390625,-2.151460647583008,100.0,PT
large_gear_2,0.0,582.1009521484375,-84.82301330566406,100.0,PT
kit_lg1med2_1_slot_m1,0.0,439.98455810546875,-165.37579345703125,100.0,PT
kit_lg1med2_1_slot_m2,0.0,359.3361511230469,-165.38699340820312,100.0,PT
kit_lg1med2_1_slot_l1,0.0,402.5325622558594,-251.30438232421875,100.0,PT
kit_lg1med2_2_slot_m1,0.0,435.528564453125,20.9107723236084,100.0,PT
kit_lg1med2_2_slot_m2,0.0,354.6468505859375,20.90378761291504,100.0,PT
kit_lg1med2_2_slot_l1,0.0,401.21002197265625,-74.1336669921875,100.0,PT
f_large_gear_3,0.0,-121.93415069580078,-605.9542236328125,100.0,PT
new_medium_gear_2,0.0,568.927490234375,-240.49098205566406,100.0,null
